Nombre,Descripcion,Vendedor,Imagenes
Ruana de Lana al Telar,"Ruana para dama en color crudo, tejida en telar urdimbre y trama. (Tipo de telar: Tafetán)",M. T. DISEÑOS (17),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-17.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-18.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-19.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-20-rotated.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-21-rotated.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/4-M.-T.-DISEÑOS-22-rotated.jpg
Bocaditos de Soja Rellenos con Espinaca y Queso,,DOÑA ANTONIA (2),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/14-DOÑA-ANTONIA-2.jpg
Milanesas de Soja Rellenas con Zapallo,,DOÑA ANTONIA (4),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/14-DOÑA-ANTONIA-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/14-DOÑA-ANTONIA-3.jpg
Milanesas de Soja Clásicas,Milanesas a base de porotos de soja. Clásicas.,DOÑA ANTONIA (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/14-DOÑA-ANTONIA-1.jpg
Hamburguesas de Garbanzos; Lentejas o Arvejas,Hamburguesas veganas de garbanzos; de lentejas y de arvejas.,HAMBURGUESAS VEGANAS (4),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/07/12-HAMBURGUESAS-VEGANAS-7.jpg
Equipo Matero,"Equipo matero realizado con botellas recicladas, caña tacuara y base de MDF. Incluye mate, bombilla, yerbera y azucarera.",ARTESANÍAS EN VIDRIO (8),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-8-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-9-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-7-1.jpg
Especieros para Mesada,Especieros de Mesada con botellas recicladas y tapas de MDF.,ARTESANÍAS EN VIDRIO (11),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-11-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-7-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-6-1.jpg
Vasos Reciclados,"Ideal para Cerveza. Se realizan con botellas de vidrio recicladas, cortadas a alta temperatura y decoradas con cañas tacuara.",ARTESANÍAS EN VIDRIO (10),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-19.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/41-ARTESANÍAS-EN-VIDRIO-10-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-18.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/HUGO-STELLA-20.jpg
Muñecos de Apego,,ARCO IRIS (9),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-11.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-8.jpg
Toalla para Bebés,,ARCO IRIS (10),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-10.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-11.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-1.jpg
Baberos y Babitas para Bebés,,ARCO IRIS (6),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-7.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/33-ARCO-IRIS-11.jpg
Lámparas Tejidas,,Lorena,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20210314_165036757-Lorena-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20210314_165120098-Lorena-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20210314_165143808-Lorena-scaled.jpg
Aros Tejidos,,ENRRIEDOS DE COLORES (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-5.jpg
Mate Decorado con Hilos,,Lorena,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20210314_163751204-Lorena-scaled.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-DE-COLORES-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/38-ENRRIEDOS-logo-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20210314_163720873-Lorena-scaled.jpg
Remeras Personalizadas para Niños y Niñas,,PILLACURIOSO (5),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-logo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-7.jpg
Accesorios para Disfrazarse,,PILLACURIOSO (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-logo.jpg
Tutús para Disfrazarse,"Disfraz de Unicornio con Tutú, Remera personalizada y Vincha haciendo juego. Pillacurioso es un emprendimiento personal. Ofrezco disfraces y accesorios personalizados para cumpleaños o eventos. La temática y el talle que el cliente necesite yo puedo hacerlo. Para el cumple o para regalar!",PILLACURIOSO (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/06/57ed4d3e-45c0-4d1b-87e3-cb73a255576e.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-7.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/37-PILLACURIOSO-logo.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/06/86ba98e2-ded4-4371-8e6e-3685cdd980a9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/06/adoalisca.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/06/entregas.jpg
Cuadros pintados en Acrílico,Cuadros sobre lienzo pintados en acrílico. Paisajes típicos mendocinos.,ARTCLAS (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/27-ARTCLAS-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/27-ARTCLAS-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/27-ARTCLAS-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/27-ARTCLAS-4.jpg
Bolso para Tabla Individual,Bolsos para llevar de camping. Con dos platos de madera. Varios colores y diseños.,VIEJAS AL HILO (8),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-8.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-1.jpg
Bolso Matero Desarmable,Bolsos materos desarmables. Sublimados con diseños exclusivos. Con velcro resistente y correas. Colores varios.,VIEJAS AL HILO (6),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20-VIEJAS-AL-HILO-7.jpg
Saco para Dama,,CECILIA VALDÉS (3),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-3-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-5-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-4-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-cecilia-valdes-logo-1.jpg
Pashmina,Mantas al telar. Nevilán 50% lana. Roslica Oveja. Telar con clavos,actualización (9),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/cecilia-valdés-actualización-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDES-manta-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-11-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-10-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-9-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-8-1.jpg
Mantilla de Bebé a Crochet,Mantillas tejidas a crochet con hilado dralon. Varios colores y modelos.,CECILIA VALDÉS (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-1-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/18-CECILIA-VALDÉS-2-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/cecilia-valdés-actualización-2.jpg
Perfumes de Imitación,"Imitaciones de perfumes para hombre y para mujer. Nina, Patchouly, Olimpia y muchos más. En versión Personal y Pocket.",LABORATORIO INDIANA (8),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/13-LABORATORIO-INDIANA-8.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/13-LABORATORIO-INDIANA-7.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/13-LABORATORIO-INDIANA-10.jpg
Aceites Holísticos,Esencias. Propilenglicol.,LABORATORIO INDIANA (2),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/13-LABORATORIO-INDIANA-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/13-LABORATORIO-INDIANA-3.jpg
Pomada de Cera de Abejas y Aceites Escenciales,Pomada para el cuerpo y para aromaterapia.,ALQUIMIA ANDINA (2),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/12-ALQUIMIA-ANDINA-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/12-ALQUIMIA-ANDINA-logo.jpg
Elixir para Hidratación Corporal (Óleo pluriactivo),Elixir para energizar cuerpo mente y espíritu. Libre de tóxicos.,ALQUIMIA ANDINA (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/12-ALQUIMIA-ANDINA-1.jpg
Óleo Corporal de Oliva y Jarilla,Producto natural para la hidratación corporal. óleo a base de aceite de oliva y Jarilla. Método de extracción a temperatura media.,ALQUIMIA ANDINA (3),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/12-ALQUIMIA-ANDINA-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/12-ALQUIMIA-ANDINA-logo.jpg
Fanal Portavelas,Fanal realizado en vidrio con detalles en falso vitraux. Cuadros en falso vitraux. Varios motivos.,PARA QUE ME LLEVES (6),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/64767400_440304590149058_6197422668921176064_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/64932527_440304580149059_4537052049602248704_o.jpg
Perchero de Pared,"Perchero en madera reciclada con detalles en falso vitraux y ganchos de hierro forjado. Diferentes diseños, estilos y colores.",PARA QUE ME LLEVES (8),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/79990566_560207668158749_2141832042269114368_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-8.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-7.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/80229040_560207734825409_1136013399478501376_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/79528106_560214758158040_5041131483297742848_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/79263665_560214778158038_3662877903940485120_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/79118957_560214711491378_2770532288520257536_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/79015813_560214761491373_2988609235794788352_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/78684655_560214748158041_8733771466195075072_n.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2020/08/76730138_560207708158745_4865814603356962816_n.jpg
Lámpara Reciclada en hierro y falso Vitreaux,"Lámpara en hierro soldado con pantalla reciclada Lámpara en hierro y falso Vitreaux, decorativas variados modelos.",PARA QUE ME LLEVES (9),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-11.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/64893247_440304653482385_7932243204831707136_o.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/65023759_440304616815722_5714706780513107968_n.jpg
Espejo de Madera Reciclada,Espejo realizado en madera de pallet reciclada. Combinado con falso vitraux,PARA QUE ME LLEVES (13),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-13.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-12.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/9-PARA-QUE-ME-LLEVES-1.jpg
Macetas pintadas,Macetas de cerámica. Pintadas y plastificadas.,LA GUBIA (8),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-8.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-12macetas-pintadas.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-13macetas-pintadas.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-14macetas-pintadas.jpg
Especiero de Pared,Especieros y porta cartas y porta llaves. Fabricados en madera de pallet reciclada. Pintados o barnizados.,LA GUBIA (4),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-5-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-4-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-3-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-10.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-14.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/LA-GUBIA-17.jpg
Reloj con Semillas,Reloj con semillas realizado en madera y utilizando productos reciclados.,LA GUBIA (1),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-1-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/7-LA-GUBIA-7.jpg
Amigurumis de Animalitos,,Evelina Acomando,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20200727_020848_0000-Evelina-Acomando.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190202_031232_743.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20181217_151534_446.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190103_202355645_HDR-01.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190106_233522_539.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190103_203329179_HDR-01.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190105_151528_104-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190105_151457_223.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/20200727_021546_0000-Evelina-Acomando.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/1595811435124-01-Evelina-Acomando.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20200811_022424_337-Evelina-Acomando.jpg
Amigurumis con Accesorios para Cambiar,Muñeca tejida con la técnica amigurumi. Incluye dos cambios de vestidos. Se presenta en caja de cartón con tapa.,MILEGURUMIS (2),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/1550708725286-02.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/1550708556159-01.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/1548538500416-01.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190126_195018_935.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190208_123332_971-1.jpg
Amigurumis de Personajes de Disney,Muñeca tejida a mano con la técnica de amigurumi. Lana hipoalergénica. Modelo convertible del personaje de Disney La Sirenita.,Evelina Acomando,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/1608246821494-Evelina-Acomando.png | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-6.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS-1.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/6-MILEGURUMIS.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20181212_230347395-01-1.jpeg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/IMG_20190131_001625_394.jpg
Bolso Matero Clásico,Descripción del Producto Bolso para Equipo de Mate Varios Colores,WA0031,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2016/12/IMG-20161215-WA0031.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2016/12/19956886_256609801503711_2318490155664069182_o.jpg
Cajas Forradas - Alhajero,Cajas de MDF y de cartón forradas en tela.,DEVA (10),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-10.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-14.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-13.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-12.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-11.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-8.jpg
Cartera,Cartera en color arena. El tela de tapicería y eco cuero,DEVA (5),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-5.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-7.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-6.jpg
Mochila en Cuero Sintético,Mochila negra de eco cuero,DEVA (2),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-2.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-3.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-4.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/3-DEVA-logo.jpg
Juego de Bar: Mesa alta y Banquetas de Madera,"Mesas, banquetas altas, Mesas ratonas y demás muebles para el hogar o el local comercial. Hacemos modelos a pedido. Todo en barrica de roble reciclada.",quba juego para bar,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-juego-para-bar.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-banqueta-alta.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-QUBA-11.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-mesita-para-bar.jpg
Destapador Birrero de Barrica de Roble,Todo realizado en madera reciclada de barricas de roble.,QUBA (10),https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-QUBA-10.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-QUBA-8.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-QUBA-9.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-mesita-birrera.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-QUBA-11.jpg
Tablas de Madera de Barrica de Roble,,quba tabla quesos,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-tabla-quesos.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-tabla-fiambres.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-bandeja-grande.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-bandeja-curvada.jpg
Juego de Jardín - Poltronas para exterior con Mesa Ratona,Juego de Jardín realizado artesanalmente con madera reciclada proveniente de barricas de roble.,quba poltrona exterior,https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-poltrona-exterior.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-poltrona.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-juego-de-jardin.jpg | https://www.mendoza.gov.ar/wp-content/uploads/sites/49/2019/06/32-quba-mesita-ratona.jpg
